35
-7
20190105:2210,0.0,0.0,0.0,0.0,5.96,0.48,0.0
20190105:2310,0.0,0.0,0.0,0.0,4.88,0.76,0.0
20190106:0010,0.0,0.0,0.0,0.0,4.78,0.9,0.0
20190106:0110,0.0,0.0,0.0,0.0,4.8,0.76,0.0
20190106:0210,0.0,0.0,0.0,0.0,5.1,0.34,0.0
20190106:0310,0.0,0.0,0.0,0.0,4.89,0.28,0.0
20190106:0410,0.0,0.0,0.0,0.0,4.05,0.55,0.0
20190106:0510,0.0,0.0,0.0,0.0,3.98,1.03,0.0
20190106:0610,0.0,0.0,0.0,0.0,3.81,1.52,0.0
20190106:0710,0.0,0.0,0.0,0.0,4.46,2.28,0.0
20190106:0810,0.0,11.11,0.24,3.41,4.53,1.86,0.0
20190106:0910,0.0,40.86,0.82,11.59,4.73,1.52,0.0
20190106:1010,0.0,58.11,1.17,18.11,4.79,1.38,0.0
20190106:1110,0.0,68.1,1.37,22.44,5.03,1.38,0.0
20190106:1210,0.0,70.83,1.43,24.12,5.03,1.31,0.0
20190106:1310,0.0,93.53,1.88,22.94,5.27,1.45,0.0
20190106:1410,2.19,98.4,1.99,19.06,5.46,2.0,0.0
20190106:1510,0.0,60.7,1.3,12.89,5.23,2.28,0.0
20190106:1610,0.0,19.66,0.42,4.96,4.87,2.07,0.0
20190106:1710,0.0,0.0,0.0,0.0,4.53,2.07,0.0
20190106:1810,0.0,0.0,0.0,0.0,4.37,1.79,0.0
20190106:1910,0.0,0.0,0.0,0.0,3.77,1.66,0.0
20190106:2010,0.0,0.0,0.0,0.0,3.81,1.59,0.0
20190106:2110,0.0,0.0,0.0,0.0,3.78,1.66,0.0
20190106:2210,0.0,0.0,0.0,0.0,3.77,1.59,0.0
20190106:2310,0.0,0.0,0.0,0.0,3.79,1.72,0.0
20190107:0010,0.0,0.0,0.0,0.0,3.8,1.86,0.0
20190107:0110,0.0,0.0,0.0,0.0,3.84,2.07,0.0
20190107:0210,0.0,0.0,0.0,0.0,3.94,2.0,0.0
20190107:0310,0.0,0.0,0.0,0.0,3.92,2.14,0.0
20190107:0410,0.0,0.0,0.0,0.0,3.78,2.34,0.0
20190107:0510,0.0,0.0,0.0,0.0,3.7,2.62,0.0
20190107:0610,0.0,0.0,0.0,0.0,3.66,2.9,0.0
20190107:0710,0.0,0.0,0.0,0.0,3.58,3.31,0.0
20190107:0810,0.0,12.71,0.26,3.44,3.7,2.97,0.0
20190107:0910,12.28,69.6,1.43,11.65,3.94,2.76,0.0
20190107:1010,0.0,61.75,1.24,18.19,4.35,2.55,0.0
20190107:1110,0.0,66.29,1.33,22.54,4.61,2.21,0.0
20190107:1210,0.0,74.46,1.5,24.24,4.81,1.52,0.0
20190107:1310,0.0,69.92,1.41,23.08,5.13,1.1,0.0
20190107:1410,0.0,75.37,1.52,19.21,5.57,1.17,0.0
20190107:1510,0.0,82.07,1.75,13.04,5.81,1.45,0.0
20190107:1610,0.0,26.5,0.57,5.12,5.84,1.59,0.0
20190107:1710,0.0,0.0,0.0,0.0,5.72,2.07,0.0
20190107:1810,0.0,0.0,0.0,0.0,5.64,2.21,0.0
20190107:1910,0.0,0.0,0.0,0.0,5.51,2.48,0.0
20190107:2010,0.0,0.0,0.0,0.0,5.55,2.14,0.0
20190107:2110,0.0,0.0,0.0,0.0,5.48,1.66,0.0
20190107:2210,0.0,0.0,0.0,0.0,5.54,1.38,0.0
20190107:2310,0.0,0.0,0.0,0.0,5.38,0.9,0.0
20190108:0010,0.0,0.0,0.0,0.0,5.5,0.62,0.0
20190108:0110,0.0,0.0,0.0,0.0,5.52,0.69,0.0
20190108:0210,0.0,0.0,0.0,0.0,5.5,0.9,0.0
20190108:0310,0.0,0.0,0.0,0.0,5.67,1.24,0.0
20190108:0410,0.0,0.0,0.0,0.0,5.5,1.38,0.0
20190108:0510,0.0,0.0,0.0,0.0,5.48,1.1,0.0
20190108:0610,0.0,0.0,0.0,0.0,5.23,0.83,0.0
20190108:0710,0.0,0.0,0.0,0.0,5.21,1.1,0.0
20190108:0810,0.0,3.63,0.07,3.48,5.15,1.24,0.0
20190108:0910,3.05,54.96,1.12,11.7,5.88,1.17,0.0
20190108:1010,2.41,97.56,1.97,18.27,6.8,1.17,0.0
20190108:1110,13.07,139.48,2.87,22.65,7.27,1.45,0.0
20190108:1210,18.76,159.71,3.31,24.37,7.44,1.86,0.0
